iter	MultiClass
0	1.311672562
1	1.242064681
2	1.181618539
3	1.121003967
4	1.068597688
5	1.019976402
6	0.9745062455
7	0.9413535693
8	0.9082076802
9	0.8802255248
10	0.8545963434
11	0.8326122664
12	0.8093738425
13	0.7876257856
14	0.7690995132
15	0.747425279
16	0.7277152688
17	0.7105148445
18	0.6949252875
19	0.6799380126
20	0.6658146151
21	0.6536943887
22	0.6419537768
23	0.6280602376
24	0.621181702
25	0.609972668
26	0.5978247132
27	0.5866878799
28	0.5766022699
29	0.5674658151
30	0.5582772475
31	0.5507758301
32	0.5433549647
33	0.5373609446
34	0.5314068957
35	0.5233332586
36	0.515906703
37	0.5083918074
38	0.5012283464
39	0.494903446
40	0.4905908103
41	0.4851633692
42	0.4771915312
43	0.4723987869
44	0.4685134066
45	0.4618418139
46	0.4563695766
47	0.4505481414
48	0.4465669525
49	0.4402932604
50	0.4348477703
51	0.4294116768
52	0.4249968718
53	0.4197034278
54	0.4148615229
55	0.4107989032
56	0.4061052989
57	0.4011201697
58	0.3967507448
59	0.3930126661
60	0.388239814
61	0.3844979223
62	0.3809509859
63	0.3772120046
64	0.3740341491
65	0.3710724506
66	0.3694697128
67	0.3671009083
68	0.3653793194
69	0.3621406228
70	0.3585520349
71	0.3550693772
72	0.3523224424
73	0.3497803045
74	0.3464083638
75	0.3432004348
76	0.3399228685
77	0.3368462565
78	0.3337510463
79	0.3308692426
80	0.3274810513
81	0.3252226148
82	0.3228157272
83	0.3196718573
84	0.317171432
85	0.3140098163
86	0.3116821555
87	0.3096060243
88	0.3078224889
89	0.3060163173
90	0.303474066
91	0.3009896842
92	0.2984820999
93	0.2956824268
94	0.2930446756
95	0.2909871059
96	0.2889933051
97	0.2870253644
98	0.2846541679
99	0.2823960811
100	0.2806357273
101	0.2785906861
102	0.2765975132
103	0.2750921401
104	0.2727033008
105	0.271024594
106	0.269074143
107	0.2670453713
108	0.264831972
109	0.2627182314
110	0.2608408325
111	0.2585653976
112	0.2571375745
113	0.2555342278
114	0.2536638039
115	0.2522067938
116	0.2504936668
117	0.2488501935
118	0.2470154823
119	0.2452792286
120	0.243575309
121	0.2419935907
122	0.2400313815
123	0.238310485
124	0.2367263386
125	0.2355229158
126	0.2336594267
127	0.2320818549
128	0.2307855396
129	0.2290054963
130	0.2275344031
131	0.2260852153
132	0.2246400308
133	0.2231862006
134	0.2218761208
135	0.2207481671
136	0.2198527717
137	0.2185447088
138	0.2170676989
139	0.2157690422
140	0.2145509335
141	0.2132312428
142	0.2117863846
143	0.2104723389
144	0.2094024565
145	0.2083236887
146	0.2072213415
147	0.2063535678
148	0.20534654
149	0.2045099493
150	0.2032946042
151	0.2023664769
152	0.2012044403
153	0.2000119715
154	0.1991031597
155	0.1983540521
156	0.1974617936
157	0.1964021586
158	0.1952357848
159	0.1940117123
160	0.1929605517
161	0.1921805178
162	0.1913714114
163	0.1902836329
164	0.1893498162
165	0.1885119198
166	0.1874513354
167	0.1863487321
168	0.1853541984
169	0.1844287873
170	0.1837338466
171	0.1827110268
172	0.1816044106
173	0.1805678304
174	0.1796335754
175	0.1788283267
176	0.1779127511
177	0.177099105
178	0.1763283864
179	0.1754394175
180	0.1746365364
181	0.1739504106
182	0.173177911
183	0.172387833
184	0.1713850175
185	0.1704881236
186	0.1698504108
187	0.1691215776
188	0.1683893139
189	0.1674475374
190	0.1665553892
191	0.1656941945
192	0.1648232688
193	0.1640720627
194	0.1632378115
195	0.1624823387
196	0.1618932808
197	0.1612047037
198	0.1604093318
199	0.1594992566
200	0.1588035931
201	0.1581081658
202	0.1575907269
203	0.157145015
204	0.1563618108
205	0.1557388516
206	0.1549745198
207	0.1541757664
208	0.1536352295
209	0.1530213067
210	0.1525099723
211	0.151964988
212	0.1512110333
213	0.150564929
214	0.1498526648
215	0.1492740091
216	0.1486196725
217	0.1480376699
218	0.1474065454
219	0.1468488531
220	0.1461758943
221	0.1454580787
222	0.1448287623
223	0.1443778792
224	0.1436128703
225	0.1430977722
226	0.1426165462
227	0.14215932
228	0.1415725938
229	0.1409278789
230	0.140435351
231	0.1399506051
232	0.1397242874
233	0.1391311105
234	0.1386300696
235	0.1381582866
236	0.1376131497
237	0.1370376747
238	0.1365368458
239	0.1359069425
240	0.1353845822
241	0.1350231184
242	0.1344161687
243	0.1339318221
244	0.1334327009
245	0.132962167
246	0.1324195208
247	0.131935377
248	0.1315140148
249	0.1311171023
250	0.1306125165
251	0.1301181208
252	0.129725718
253	0.1291318544
254	0.1285429435
255	0.1280243681
256	0.1275806055
257	0.1270424654
258	0.1266193008
259	0.1262287564
260	0.1257041756
261	0.1251870907
262	0.1245532703
263	0.1240697549
264	0.1235238941
265	0.1229717647
266	0.1225148964
267	0.1220255519
268	0.1215260799
269	0.1211772942
270	0.1207346263
271	0.1204194926
272	0.1200150574
273	0.1194513568
274	0.1190565956
275	0.1186086175
276	0.1181620465
277	0.1176241978
278	0.1172600024
279	0.116989495
280	0.1166971397
281	0.1162498448
282	0.1159410281
283	0.1156323186
284	0.1151471679
285	0.1148241817
286	0.1144950109
287	0.1141695231
288	0.1136976439
289	0.1133005181
290	0.1128487308
291	0.1124106268
292	0.1120785172
293	0.1116626426
294	0.1113569389
295	0.1111124979
296	0.1107729658
297	0.1105051215
298	0.1101344241
299	0.1096351335
300	0.1092150824
301	0.1087312478
302	0.1084542608
303	0.1080871469
304	0.1077847855
305	0.1073831576
306	0.1071056895
307	0.1068803487
308	0.1065114111
309	0.1062403615
310	0.1059743847
311	0.1056391001
312	0.1053422083
313	0.1050726008
314	0.1047297534
315	0.1042842885
316	0.1039948574
317	0.1035973817
318	0.1032541864
319	0.1029114259
320	0.1024858755
321	0.1021039066
322	0.1017614779
323	0.1014930309
324	0.1010813216
325	0.1008198376
326	0.100503042
327	0.1002844664
328	0.09991738276
329	0.09962014925
330	0.09930011716
331	0.0990053345
332	0.09881844336
333	0.09859568763
334	0.09823504422
335	0.09799820991
336	0.09769682412
337	0.09729445874
338	0.09693592266
339	0.09664586816
340	0.09627620436
341	0.09599294621
342	0.09559808044
343	0.09534319655
344	0.09505926929
345	0.09485934511
346	0.09453493453
347	0.09429653512
348	0.09395043518
349	0.09371632484
350	0.09338749497
351	0.09317089406
352	0.0929332063
353	0.09259678735
354	0.09234056876
355	0.09206354567
356	0.09183643041
357	0.09151723489
358	0.09114624626
359	0.09092033128
360	0.09065716986
361	0.09043574651
362	0.09015579842
363	0.08990477327
364	0.08960934854
365	0.08932978254
366	0.08903711383
367	0.08871824755
368	0.08852064536
369	0.08823579966
370	0.08793344983
371	0.08762221841
372	0.08733669584
373	0.08707401747
374	0.08687243001
375	0.08656872328
376	0.08624240213
377	0.08589490095
378	0.0856504838
379	0.08540469539
380	0.08518088325
381	0.08485988088
382	0.0846291458
383	0.08432058478
384	0.08408654615
385	0.08386027415
386	0.08364135428
387	0.08347058369
388	0.08329428731
389	0.08293540228
390	0.08272621919
391	0.08253292356
392	0.08234492691
393	0.08214815525
394	0.08188521419
395	0.08162322441
396	0.08144974668
397	0.08124464417
398	0.08099092841
399	0.08076785469
400	0.08047711873
401	0.0801688218
402	0.07994110992
403	0.07976392549
404	0.07952828913
405	0.07931007624
406	0.07905573794
407	0.07886214911
408	0.07863929222
409	0.07841835271
410	0.07820204795
411	0.07796591966
412	0.0777903555
413	0.07762957086
414	0.07745316877
415	0.07721219139
416	0.07700530711
417	0.07683909032
418	0.0766385518
419	0.07643807841
420	0.07623698825
421	0.07605708016
422	0.07592151698
423	0.07573435893
424	0.07554892882
425	0.0754052121
426	0.07516243253
427	0.0749636235
428	0.07479110941
429	0.07466475483
430	0.07444177826
431	0.07419861985
432	0.07403903852
433	0.07384392612
434	0.07359438354
435	0.0734169294
436	0.07316972876
437	0.07298571499
438	0.07283807682
439	0.07269043266
440	0.07250420063
441	0.07228944509
442	0.07214233614
443	0.07195555792
444	0.07178120866
445	0.07163328425
446	0.07141245087
447	0.07123871868
448	0.0711146438
449	0.0709463606
450	0.07070649228
451	0.07058011881
452	0.07039311334
453	0.07019288312
454	0.06997088669
455	0.06980344496
456	0.06965178044
457	0.06945827873
458	0.0692965057
459	0.06913172357
460	0.06898261778
461	0.06877117119
462	0.06854361043
463	0.06838021281
464	0.06822512595
465	0.06805496493
466	0.06787824207
467	0.06776494947
468	0.06760481987
469	0.06746817208
470	0.06732199233
471	0.06711138059
472	0.06696958022
473	0.06680462588
474	0.06666048842
475	0.0665633118
476	0.06635897161
477	0.06613771502
478	0.06600874041
479	0.06582645051
480	0.06565354566
481	0.06548432305
482	0.06530209523
483	0.06516869452
484	0.06499329116
485	0.06485647944
486	0.06468464176
487	0.0645615933
488	0.06435272457
489	0.0641324117
490	0.06399676742
491	0.06385541375
492	0.06371823919
493	0.06360691785
494	0.06346865873
495	0.06334646976
496	0.06321342281
497	0.06304454665
498	0.06291521423
499	0.06281679204
500	0.06270136189
501	0.06258183216
502	0.06237716318
503	0.06221961192
504	0.06206979677
505	0.06189543303
506	0.06177054948
507	0.06160387364
508	0.06149052153
509	0.0613333775
510	0.06122627174
