iter	Passed	Remaining
0	12	12950
1	22	11193
2	33	10994
3	45	11240
4	54	10775
5	64	10628
6	73	10453
7	83	10341
8	93	10318
9	102	10140
10	112	10091
11	121	9978
12	130	9908
13	140	9897
14	149	9814
15	159	9837
16	170	9866
17	178	9762
18	191	9898
19	202	9943
20	217	10118
21	227	10094
22	244	10368
23	256	10440
24	267	10451
25	277	10409
26	293	10560
27	305	10607
28	316	10593
29	326	10549
30	337	10559
31	350	10602
32	360	10560
33	372	10581
34	385	10615
35	398	10667
36	412	10744
37	424	10758
38	440	10856
39	455	10920
40	467	10940
41	477	10901
42	488	10880
43	502	10920
44	514	10912
45	524	10869
46	534	10844
47	549	10903
48	562	10913
49	574	10924
50	586	10910
51	619	11287
52	633	11313
53	646	11334
54	664	11422
55	677	11424
56	687	11380
57	700	11369
58	713	11377
59	727	11392
60	739	11384
61	752	11380
62	761	11330
63	774	11324
64	785	11298
65	795	11263
66	810	11280
67	824	11304
68	839	11327
69	854	11351
70	866	11332
71	880	11354
72	889	11291
73	901	11286
74	916	11297
75	925	11256
76	939	11257
77	950	11233
78	959	11189
79	969	11150
80	978	11097
81	986	11045
82	997	11021
83	1005	10969
84	1015	10931
85	1022	10869
86	1031	10825
87	1040	10782
88	1051	10759
89	1061	10728
90	1071	10700
91	1082	10686
92	1093	10663
93	1125	10845
94	1159	11045
95	1167	10990
96	1176	10956
97	1196	11008
98	1213	11046
99	1222	11006
100	1231	10962
101	1242	10936
102	1249	10883
103	1258	10845
104	1266	10793
105	1288	10869
106	1297	10825
107	1306	10790
108	1314	10745
109	1325	10721
110	1333	10679
111	1341	10636
112	1350	10599
113	1358	10561
114	1368	10530
115	1375	10485
116	1385	10453
117	1393	10416
118	1405	10401
119	1413	10362
120	1421	10329
121	1429	10289
122	1438	10257
123	1446	10220
124	1456	10197
125	1467	10177
126	1476	10148
127	1486	10125
128	1494	10092
129	1503	10064
130	1512	10033
131	1520	9995
132	1528	9966
133	1576	10188
134	1591	10199
135	1603	10188
136	1620	10210
137	1634	10208
138	1644	10184
139	1653	10159
140	1665	10146
141	1674	10119
142	1684	10092
143	1696	10086
144	1706	10064
145	1716	10040
146	1727	10025
147	1740	10020
148	1752	10010
149	1766	10008
150	1777	9996
151	1789	9983
152	1799	9959
153	1812	9959
154	1824	9946
155	1834	9925
156	1848	9925
157	1862	9926
158	1874	9914
159	1885	9898
160	1898	9894
161	1913	9899
162	1929	9907
163	1942	9902
164	1953	9886
165	1965	9873
166	1976	9857
167	1988	9846
168	1999	9834
169	2010	9817
170	2023	9808
171	2041	9827
172	2055	9824
173	2065	9805
174	2076	9787
175	2090	9785
176	2103	9782
177	2117	9777
178	2132	9780
179	2142	9761
180	2153	9745
181	2163	9725
182	2174	9705
183	2212	9810
184	2268	9993
185	2281	9983
186	2302	10010
187	2313	9990
188	2323	9970
189	2334	9950
190	2344	9929
191	2354	9908
192	2363	9882
193	2373	9862
194	2385	9846
195	2397	9834
196	2408	9816
197	2418	9796
198	2430	9784
199	2440	9762
200	2454	9756
201	2464	9737
202	2476	9723
203	2488	9710
204	2500	9695
205	2513	9686
206	2523	9666
207	2536	9657
208	2547	9642
209	2556	9616
210	2568	9603
211	2579	9588
212	2590	9572
213	2602	9556
214	2612	9539
215	2622	9519
216	2634	9506
217	2647	9497
218	2660	9488
219	2674	9480
220	2684	9463
221	2696	9451
222	2706	9430
223	2716	9409
224	2728	9396
225	2737	9376
226	2748	9359
227	2764	9360
228	2779	9356
229	2795	9357
230	2807	9345
231	2817	9326
232	2828	9310
233	2841	9300
234	2854	9292
235	2864	9272
236	2877	9265
237	2910	9318
238	2927	9321
239	2940	9310
240	2954	9303
241	2966	9293
242	2977	9274
243	3032	9396
244	3067	9452
245	3092	9477
246	3104	9465
247	3136	9510
248	3149	9498
249	3158	9476
250	3170	9462
251	3182	9445
252	3193	9428
253	3203	9409
254	3215	9394
255	3225	9374
256	3235	9354
257	3248	9341
258	3260	9327
259	3272	9312
260	3285	9301
261	3296	9286
262	3309	9273
263	3319	9254
264	3329	9233
265	3339	9216
266	3350	9198
267	3361	9181
268	3376	9175
269	3389	9163
270	3399	9143
271	3409	9125
272	3420	9108
273	3429	9087
274	3442	9074
275	3453	9059
276	3463	9040
277	3472	9019
278	3490	9019
279	3501	9003
280	3513	8989
281	3527	8980
282	3541	8972
283	3554	8960
284	3565	8945
285	3577	8932
286	3587	8913
287	3599	8899
288	3610	8882
289	3621	8866
290	3753	9145
291	3776	9157
292	3793	9152
293	3804	9136
294	3838	9173
295	3849	9154
296	3858	9133
297	3868	9113
298	3880	9098
299	3893	9083
300	3901	9060
301	3914	9047
302	3925	9030
303	3934	9008
304	3946	8991
305	3957	8976
306	3968	8958
307	3981	8946
308	3996	8937
309	4012	8930
310	4024	8915
311	4034	8896
312	4046	8880
313	4055	8860
314	4064	8839
315	4075	8820
316	4086	8804
317	4095	8783
318	4107	8768
319	4118	8752
320	4128	8733
321	4139	8716
322	4150	8700
323	4161	8682
324	4172	8665
325	4186	8654
326	4197	8637
327	4208	8622
328	4221	8609
329	4233	8596
330	4244	8579
331	4255	8562
332	4266	8545
333	4275	8525
334	4285	8507
335	4295	8489
336	4305	8471
337	4317	8456
338	4330	8442
339	4339	8424
340	4351	8409
341	4363	8394
342	4374	8378
343	4384	8361
344	4399	8352
345	4409	8335
346	4420	8318
347	4432	8303
348	4443	8288
349	4457	8278
350	4467	8260
351	4479	8246
352	4492	8233
353	4503	8218
354	4514	8202
355	4527	8190
356	4538	8174
357	4549	8158
358	4560	8142
359	4576	8135
360	4590	8124
361	4613	8130
362	4624	8114
363	4644	8115
364	4654	8097
365	4666	8083
366	4675	8063
367	4685	8047
368	4699	8036
369	4710	8021
370	4722	8006
371	4735	7995
372	4749	7983
373	4760	7967
374	4771	7952
375	4783	7939
376	4796	7926
377	4813	7920
378	4825	7906
379	4839	7896
380	4850	7880
381	4864	7869
382	4948	7971
383	4971	7974
384	4984	7961
385	4994	7944
386	5034	7974
387	5043	7954
388	5054	7939
389	5063	7919
390	5072	7900
391	5082	7882
392	5092	7865
393	5103	7849
394	5112	7830
395	5121	7810
396	5131	7794
397	5140	7775
398	5150	7758
399	5159	7739
400	5169	7722
401	5179	7704
402	5187	7685
403	5203	7676
404	5215	7662
405	5224	7644
406	5238	7633
407	5253	7622
408	5265	7608
409	5276	7593
410	5287	7577
411	5299	7562
412	5309	7546
413	5318	7528
414	5331	7514
415	5343	7500
416	5352	7483
417	5363	7467
418	5373	7451
419	5382	7433
420	5393	7416
421	5403	7400
422	5411	7381
423	5427	7372
424	5440	7360
425	5451	7345
426	5462	7330
427	5475	7317
428	5485	7301
429	5497	7287
430	5509	7273
431	5520	7258
432	5528	7239
433	5541	7226
434	5550	7209
435	5561	7194
436	5573	7179
437	5581	7162
438	5592	7147
439	5601	7129
440	5613	7115
441	5625	7102
442	5642	7095
443	5654	7080
444	5664	7064
445	5673	7047
446	5687	7035
447	5696	7019
448	5706	7002
449	5718	6989
450	5728	6973
451	5768	6993
452	5801	7005
453	5845	7029
454	5865	7025
455	5875	7009
456	5886	6993
457	5908	6992
458	5918	6975
459	5928	6959
460	5940	6945
461	5950	6929
462	5959	6912
463	5971	6897
464	5981	6882
465	5992	6866
466	6001	6849
467	6011	6833
468	6022	6818
469	6032	6802
470	6044	6788
471	6056	6774
472	6068	6761
473	6081	6748
474	6093	6734
475	6104	6720
476	6114	6704
477	6126	6690
478	6136	6674
479	6145	6657
480	6157	6643
481	6166	6627
482	6175	6609
483	6187	6596
484	6197	6580
485	6208	6566
486	6220	6552
487	6229	6535
488	6254	6536
489	6265	6521
490	6278	6509
491	6298	6502
492	6310	6489
493	6321	6475
494	6330	6458
495	6340	6443
496	6350	6426
497	6362	6413
498	6372	6397
499	6382	6382
500	6393	6367
501	6405	6354
502	6418	6341
503	6431	6329
504	6442	6315
505	6455	6302
506	6468	6289
507	6480	6276
508	6493	6263
509	6505	6250
510	6517	6237
511	6528	6222
512	6537	6206
513	6548	6191
514	6558	6176
515	6570	6162
516	6583	6150
517	6595	6137
518	6605	6121
519	6615	6106
520	6626	6092
521	6635	6076
522	6649	6064
523	6661	6050
524	6673	6038
525	6688	6027
526	6698	6011
527	6711	5999
528	6722	5985
529	6733	5970
530	6746	5958
531	6759	5946
532	6772	5933
533	6785	5921
534	6796	5907
535	6810	5895
536	6826	5886
537	6838	5872
538	6848	5857
539	6860	5844
540	6876	5834
541	6895	5826
542	6911	5817
543	6925	5805
544	6938	5792
545	6950	5779
546	6960	5764
547	6973	5752
548	6986	5739
549	6996	5724
550	7008	5711
551	7022	5699
552	7032	5684
553	7043	5670
554	7053	5655
555	7066	5642
556	7079	5630
557	7088	5615
558	7103	5603
559	7120	5594
560	7133	5582
561	7144	5568
562	7155	5554
563	7167	5540
564	7181	5529
565	7192	5514
566	7205	5502
567	7215	5488
568	7226	5474
569	7238	5460
570	7248	5445
571	7262	5433
572	7272	5419
573	7286	5407
574	7298	5394
575	7311	5381
576	7322	5368
577	7333	5354
578	7346	5341
579	7362	5331
580	7372	5317
581	7407	5320
582	7419	5306
583	7432	5294
584	7454	5288
585	7477	5282
586	7489	5269
587	7504	5258
588	7517	5245
589	7528	5231
590	7541	5219
591	7553	5206
592	7564	5191
593	7573	5176
594	7589	5165
595	7601	5152
596	7613	5139
597	7623	5124
598	7634	5111
599	7645	5097
600	7654	5081
601	7669	5070
602	7680	5056
603	7691	5042
604	7701	5028
605	7715	5016
606	7730	5004
607	7741	4991
608	7751	4976
609	7763	4963
610	7776	4951
611	7787	4936
612	7797	4922
613	7809	4909
614	7818	4894
615	7829	4881
616	7840	4867
617	7850	4852
618	7862	4839
619	7874	4826
620	7884	4811
621	7896	4798
622	7909	4786
623	7939	4784
624	7954	4772
625	7964	4758
626	7979	4747
627	7992	4734
628	8003	4720
629	8013	4706
630	8025	4693
631	8035	4679
632	8048	4666
633	8059	4652
634	8071	4639
635	8083	4626
636	8092	4611
637	8107	4600
638	8121	4588
639	8134	4575
640	8145	4562
641	8157	4548
642	8170	4536
643	8181	4522
644	8192	4508
645	8203	4495
646	8216	4482
647	8229	4470
648	8238	4455
649	8249	4441
650	8258	4427
651	8267	4412
652	8278	4399
653	8289	4385
654	8297	4370
655	8306	4355
656	8318	4343
657	8333	4331
658	8346	4318
659	8358	4305
660	8368	4291
661	8381	4279
662	8394	4266
663	8405	4253
664	8415	4239
665	8425	4225
666	8435	4211
667	8444	4197
668	8456	4183
669	8465	4169
670	8475	4155
671	8485	4141
672	8496	4128
673	8542	4131
674	8586	4134
675	8625	4133
676	8651	4127
677	8661	4113
678	8690	4108
679	8707	4097
680	8718	4084
681	8729	4070
682	8742	4057
683	8755	4044
684	8767	4031
685	8781	4019
686	8797	4008
687	8806	3993
688	8819	3981
689	8834	3968
690	8844	3954
691	8854	3940
692	8866	3927
693	8877	3914
694	8886	3899
695	8898	3886
696	8908	3872
697	8917	3858
698	8929	3845
699	8940	3831
700	8949	3817
701	8962	3804
702	8973	3791
703	9047	3803
704	9059	3790
705	9082	3782
706	9093	3768
707	9104	3755
708	9115	3741
709	9127	3727
710	9137	3714
711	9147	3699
712	9160	3687
713	9172	3674
714	9183	3660
715	9197	3648
716	9212	3636
717	9224	3623
718	9235	3609
719	9244	3594
720	9255	3581
721	9264	3567
722	9274	3553
723	9286	3540
724	9298	3526
725	9313	3515
726	9326	3502
727	9340	3489
728	9351	3476
729	9361	3462
730	9372	3449
731	9385	3436
732	9398	3423
733	9410	3410
734	9425	3398
735	9435	3384
736	9446	3370
737	9455	3356
738	9466	3343
739	9476	3329
740	9487	3316
741	9499	3303
742	9510	3289
743	9520	3275
744	9532	3262
745	9543	3249
746	9552	3235
747	9566	3223
748	9577	3209
749	9586	3195
750	9597	3182
751	9610	3169
752	9639	3162
753	9652	3149
754	9664	3136
755	9676	3123
756	9688	3109
757	9700	3097
758	9709	3083
759	9729	3072
760	9740	3059
761	9753	3046
762	9764	3032
763	9775	3019
764	9787	3006
765	9801	2994
766	9812	2980
767	9826	2968
768	9840	2956
769	9853	2943
770	9866	2930
771	9876	2916
772	9886	2903
773	9898	2890
774	9909	2876
775	9920	2863
776	9931	2850
777	9942	2837
778	9952	2823
779	9965	2810
780	9976	2797
781	9989	2784
782	9999	2771
783	10014	2758
784	10027	2746
785	10044	2734
786	10059	2722
787	10070	2709
788	10080	2695
789	10091	2682
790	10102	2669
791	10113	2656
792	10127	2643
793	10141	2631
794	10152	2617
795	10162	2604
796	10174	2591
797	10187	2578
798	10197	2565
799	10209	2552
800	10224	2540
801	10240	2528
802	10253	2515
803	10264	2502
804	10277	2489
805	10290	2476
806	10324	2469
807	10336	2456
808	10348	2443
809	10378	2434
810	10395	2422
811	10405	2409
812	10418	2396
813	10429	2383
814	10440	2369
815	10452	2356
816	10465	2344
817	10476	2330
818	10486	2317
819	10498	2304
820	10509	2291
821	10518	2277
822	10530	2264
823	10540	2251
824	10550	2238
825	10561	2224
826	10573	2211
827	10583	2198
828	10592	2185
829	10602	2171
830	10612	2158
831	10626	2145
832	10636	2132
833	10647	2119
834	10660	2106
835	10673	2093
836	10683	2080
837	10693	2067
838	10704	2054
839	10715	2040
840	10727	2028
841	10738	2015
842	10749	2002
843	10759	1988
844	10773	1976
845	10788	1963
846	10798	1950
847	10807	1937
848	10817	1924
849	10828	1910
850	10838	1897
851	10850	1884
852	10861	1871
853	10873	1858
854	10882	1845
855	10892	1832
856	10901	1819
857	10913	1806
858	10923	1792
859	10933	1779
860	10946	1767
861	10955	1753
862	10966	1740
863	10978	1728
864	10988	1714
865	10998	1701
866	11009	1688
867	11018	1675
868	11032	1663
869	11044	1650
870	11056	1637
871	11075	1625
872	11090	1613
873	11102	1600
874	11114	1587
875	11126	1574
876	11136	1561
877	11146	1548
878	11159	1536
879	11171	1523
880	11181	1510
881	11190	1497
882	11201	1484
883	11211	1471
884	11223	1458
885	11235	1445
886	11249	1433
887	11259	1420
888	11273	1407
889	11287	1395
890	11298	1382
891	11310	1369
892	11320	1356
893	11329	1343
894	11338	1330
895	11348	1317
896	11358	1304
897	11367	1291
898	11377	1278
899	11387	1265
900	11398	1252
901	11408	1239
902	11419	1226
903	11432	1214
904	11443	1201
905	11454	1188
906	11466	1175
907	11479	1163
908	11494	1150
909	11505	1137
910	11513	1124
911	11525	1112
912	11535	1099
913	11546	1086
914	11616	1079
915	11661	1069
916	11691	1058
917	11703	1045
918	11746	1035
919	11757	1022
920	11766	1009
921	11776	996
922	11786	983
923	11796	970
924	11809	957
925	11821	944
926	11829	931
927	11840	918
928	11851	905
929	11863	892
930	11872	879
931	11884	867
932	11895	854
933	11904	841
934	11918	828
935	11931	815
936	11942	802
937	11954	790
938	11964	777
939	11974	764
940	11986	751
941	11996	738
942	12008	725
943	12018	712
944	12028	700
945	12038	687
946	12050	674
947	12060	661
948	12069	648
949	12081	635
950	12093	623
951	12104	610
952	12116	597
953	12128	584
954	12138	571
955	12151	559
956	12161	546
957	12171	533
958	12180	520
959	12190	507
960	12199	495
961	12213	482
962	12223	469
963	12232	456
964	12242	444
965	12254	431
966	12264	418
967	12276	405
968	12288	393
969	12298	380
970	12309	367
971	12319	354
972	12333	342
973	12347	329
974	12356	316
975	12366	304
976	12375	291
977	12384	278
978	12395	265
979	12406	253
980	12416	240
981	12425	227
982	12435	215
983	12444	202
984	12455	189
985	12465	176
986	12475	164
987	12485	151
988	12496	138
989	12505	126
990	12519	113
991	12531	101
992	12547	88
993	12583	75
994	12598	63
995	12616	50
996	12629	38
997	12640	25
998	12649	12
999	12662	0
